TransMorph_ssim_1_diffusion_1
,SSIM,det
p122,0.9276006817817688,0.0
p123,0.9425355195999146,0.000244140625
p124,0.9736706614494324,0.0
p125,0.9650883674621582,0.0
p126,0.9556109309196472,0.001708984375
p127,0.9487581253051758,0.0029296875
p128,0.992372453212738,0.0
p129,0.9909428358078003,0.0
p130,0.9652789235115051,0.0
p131,0.965288519859314,0.00048828125
p132,0.9785521030426025,0.000244140625
p133,0.9534942507743835,0.0
p134,0.9586698412895203,0.00732421875
p135,0.9585081338882446,0.0029296875
p136,0.9730502367019653,0.00341796875
p137,0.960961103439331,0.0
p138,0.9837177395820618,0.0
p139,0.9844033122062683,0.0
p140,0.9896273612976074,0.0
p141,0.9915646910667419,0.0
p142,0.9109412431716919,0.00244140625
p143,0.9475470781326294,0.00146484375
p144,0.9802761077880859,0.0
p145,0.9804009199142456,0.0
p146,0.9223893880844116,0.008056640625
p147,0.9367019534111023,0.0
p148,0.9646021127700806,0.005126953125
p149,0.9644642472267151,0.00634765625
p150,0.9890543818473816,0.0
p151,0.9835854768753052,0.0
p152,0.9600129127502441,0.001953125
p153,0.9572553634643555,0.00830078125
p154,0.9768757820129395,0.0068359375
p155,0.9762335419654846,0.0
p156,0.9802430868148804,0.0
p157,0.9775464534759521,0.0
p158,0.9885075688362122,0.0
p159,0.9877365231513977,0.0
p160,0.9564765691757202,0.001953125
p161,0.9602599740028381,0.0
p162,0.9744712114334106,0.0
p163,0.9711501002311707,0.001220703125
p164,0.9871656894683838,0.0
p165,0.9879903793334961,0.005859375
p166,0.9813552498817444,0.0
p167,0.9775876998901367,0.0
p168,0.9764012694358826,0.0
p169,0.9728707671165466,0.0
p170,0.9862329959869385,0.0
p171,0.9864243865013123,0.0
p172,0.8575252890586853,0.005126953125
p173,0.8581680059432983,0.0234375
p174,0.9672872424125671,0.0
p175,0.9785886406898499,0.0
p176,0.9897060990333557,0.00048828125
p177,0.9925232529640198,0.0
p178,0.9706528782844543,0.00146484375
p179,0.960180938243866,0.0
p180,0.9627985954284668,0.0
p181,0.9597203135490417,0.0
p182,0.9046740531921387,0.0029296875
p183,0.8949750065803528,0.002197265625
p184,0.9443498253822327,0.0
p185,0.9567196369171143,0.0
p186,0.9625856876373291,0.00390625
p187,0.9601854681968689,0.003173828125
p188,0.9171587824821472,0.01123046875
